lessonIdx|line|kanji|hiragana|phon|eng
61|2|これは鉛筆ですか。|これはえんぴつですか。|Kore wa enpitsu desu ka.|Is this a pencil?
61|3||||
62|1|答えてください。|答えてください。|Answer please|Answer please
62|2|それは電話ですか。|それはでんわですか。|Sore wa denwa desu ka.|Is that a telephone?
62|3||||
63|1|答えてください。|答えてください。|Answer please|Answer please
63|2|あれは車ですか。|あれはくるまですか。|Sore wa kuruma desu ka.|Is that a car?
63|3||||
64|1|答えてください。|答えてください。|Answer please|Answer please
64|2|それは時計ですか。|それはとけいですか。|Sore wa tokei desu ka.|Is that a clock?
64|3||||
65|1|答えてください。|答えてください。|Answer please|Answer please
65|2|これは新聞ですか。|これはしんぶんですか。|Kore wa shinbun desu ka.|Is this a newspaper?
65|3||||
66|1|答えてください。|答えてください。|Answer please|Answer please
66|2|あれは自転車ですか。|あれはじてんしゃですか。|Are wa jitensha desuka.|Is that a bicycle?
66|3||||
67|1|答えてください。|答えてください。|Answer please|Answer please
67|2||||
67|3||||
68|1|聞いてください|聞いてください|Listen please|Listen please
68|2|これはペンですか。|これはペンですか。|Kore wa pen desu ka.|Is this a pen?
68|3|はい、それはペンです。|はい、それはペンです。|Hai, sore wa pen desu.|Yes, it is.
69|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
69|2|これはペンですか。|これはぺんですか。|Kore wa pen desu ka.|Is this a pen?
69|3||||
70|1|言って下さい。|言って下さい。|Say it, please|Say it, please
70|2|これはペンですか。|これはぺんですか。|Kore wa pen desu ka.|Is this a pen?
70|3|はい、それはペンです。|はい、それはペンです。|Hai, sore wa pen desu.|Yes, it is.
71|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
71|2|はい、それはペンです。|はい、それはペンです。|Hai, sore wa pen desu.|Yes, it is.
71|3||||
72|1|答えてください。|答えてください。|Answer please|Answer please
72|2|これはペンですか。|これはペンですか。|Kore wa pen desu ka.|Is this a pen?
72|3|はい、それはペンです。|はい、それはペンです。|Hai, sore wa pen desu.|Yes, it is.
73|1|言って下さい。|言って下さい。|Say it, please|Say it, please
73|2|かばん|かばん|kaban|bag
73|3||||
74|1|答えてください。|答えてください。|Answer please|Answer please
